age,gender,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6,Symptom7,Symptom8,Symptom9,Symptom10,Symptom11,Symptom12,diseases,Description
all,male,Sudden,Abdominal Pain,Difficulty Breathing,Loss of Consciousness,Weak Pulse in One Arm or Leg,High Blood Pressure,Neurological Symptoms,none,none,none,none,none,Aortic dissectron,"Aortic dissection is a medical emergency characterized by a tear in the inner layer of the aorta, the large blood vessel branching off the heart. This condition can be life-threatening, and immediate medical attention is crucial"
old adult,male,Chest Pain,Shortness of Breath,Decreased Breath Sounds,Cyanosis,Rapid Heart Rate,Coughing,none,none,none,none,none,none,Pneumo thorax,"Pneumothorax is a condition characterized by the presence of air in the pleural space, the space between the lung and the chest wall. This can lead to partial or complete lung collapse"
all,both,Chest Pain or Discomfort,Shortness of Breath,Fatigue,Irregular Heartbeat,Swelling,Joint Pain,Abdominal Pain,none,none,none,none,none,myocarditis,"Myocarditis is an inflammatory condition affecting the heart muscle, often caused by viral infections. It can lead to a range of symptoms and, in severe cases, may result in heart failure"
all,both,Persistent Cough,Shortness of Breath,Chest Pain,Coughing Up Blood,Hoarseness,Unexplained Weight Loss,Fatigue,Recurrent Respiratory Infections,Wheezing,Swelling,none,none,pulmonary neoplasm,"Pulmonary neoplasm refers to the abnormal growth of cells in the lungs, which can be benign (non-cancerous) or malignant (cancerous). The most common type of pulmonary neoplasm is lung cancer"
old adult,both,Burning Sensation,Rash,Blisters,Itching,Fever,Headache,Sensitivity to Light,Painful Nerve Sensations,none,none,none,none,Herpes Zoster,"Herpes zoster, commonly known as shingles, is a viral infection caused by the varicella-zoster virus, which also causes chickenpox. After a person has had chickenpox, the virus can remain dormant in nerve cells and reappear later in life as shingles"
all,both,Chest Pain,Shortness of Breath,Cough,Decreased Breath Sounds,Fatigue,Fever,Orthopnea,none,none,none,none,none,pleural effusion,"Pleural effusion is a condition characterized by an abnormal accumulation of fluid in the pleural cavity, which is the space between the lungs and the chest wall. It can result from various underlying medical conditions."
old adult,both,Chest Pain,Triggered by Activity,Predictable Pattern,Shortness of Breath,Relief with Rest,none,none,none,none,none,none,none,stable angina,table angina is a type of chest pain or discomfort that occurs when the heart muscle doesn't receive enough blood flow. It is typically associated with physical exertion or emotional stress and tends to have a predictable pattern
all,both,Chest Pain,Shortness of Breath,Decreased Breath Sounds,Cyanosis,Rapid Heart Rate,Low Blood Pressure,Coughing up Blood,none,none,none,none,none,Hemo Thorax,"Hemothorax is a medical condition characterized by the accumulation of blood in the pleural cavity, the space between the lungs and the chest wall. This condition is often a result of trauma or injury, leading to bleeding into the chest cavity."
old adult,both,Heartburn,Difficulty Swallowing,Pain,Regurgitation,Nausea,Cough,Hoarseness,none,none,none,none,none,Esophagitis,"Esophagitis is inflammation of the esophagus, the muscular tube that connects the mouth to the stomach. It can be caused by various factors, including acid reflux, infections, medications, or certain autoimmune conditions"
all,both,Pain,Tenderness,Difficulty Breathing,Swelling,Chest Wall Deformity,Crepitus,none,none,none,none,none,none,Rib fracture,"A rib fracture is not a disease but a medical condition that results from a break or crack in one or more of the ribs. Rib fractures are often caused by trauma, such as a direct blow to the chest or significant chest compression"
early childhood,both,Pain Crisis,Anemia,Jaundice,Swelling of Hands and Feet,Frequent Infections,Delayed Growth,Vision Problems,Organ Damage,none,none,none,none,sickle cell disease,"Sickle cell disease (SCD) is a genetic disorder that affects the red blood cells, leading to the characteristic sickle or crescent shape of the cells. This altered shape can cause a range of health problems."
old adult,both,Shortness of Breath,Fatigue,Swelling,Irregular Heartbeat,Persistent Coughing,Weight Gain,Decreased Exercise Tolerance,Loss of Appetite,Impaired Thinking,none,none,none,Heart failure,Heart failure is a chronic condition where the heart is unable to pump blood effectively to meet the body's needs. It is a progressive condition that can lead to a range of symptoms
all,both,Shortness of Breath,Chest Pain,Cough,Reduced Breath Sounds,Fatigue,Fever,Orthopnea,Tachypnea,none,none,none,none,pleural effusion,"Pleural effusion is a condition characterized by an abnormal accumulation of fluid in the pleural space, which is the space between the layers of the pleura (the membranes surrounding the lungs)"
all,both,Shortness of Breath (Dyspnea),Weakness or Fatigue,Orthopnea,Paradoxical Breathing,Decreased Exercise Tolerance,Cough,Sleep Disturbances,none,none,none,none,none,Diaphragmatic paraiysis,"Diaphragmatic paralysis is a condition in which the diaphragm, the main muscle responsible for breathing, weakens or becomes paralyzed"
old adult,both,Shortness of Breath (Dyspnea),Chronic Cough,Wheezing,Chest Tightness,Chronic Bronchitis,Chronic Bronchitis,Frequent Respiratory Infections,Fatigue,Weight Loss,none,none,none,CoPD,"Chronic obstructive pulmonary disease, or COPD, is a lung disease that makes it hard to breathe. It's caused by damage to the lungs, often from smoking. Symptoms include shortness of breath, wheezing, and a cough."
all,both,Fatigue and Weakness,Pale Skin,Shortness of Breath,Dizziness or Lightheadedness,Headaches,Cold Hands and Feet,Chest Pain,Irregular Heartbeat (Arrhythmia),Brittle Nails,Craving for Non-Nutritive Substances (Pica),none,none,anemia,"Anemia is a condition in which your blood doesn't have enough healthy red blood cells. Red blood cells carry oxygen throughout your body. If you don't have enough of them, your body doesn't get the oxygen it needs. This can make you feel tired and weak."
all,both,Skin Reactions,Respiratory Symptoms,Swelling,Low Blood Pressure (Hypotension),Gastrointestinal Symptoms,Rapid Heart Rate (Tachycardia),Rapid Heart Rate (Tachycardia),Loss of Consciousness,none,none,none,none,anaphylaxis,"Anaphylaxis is a severe allergic reaction that can be life-threatening. It can cause a number of symptoms, including trouble breathing, wheezing, swelling of the face and throat, a rapid heart rate, and a drop in blood pressure"
all,both,Shortness of Breath (Dyspnea),Orthopnea,Paroxysmal Nocturnal Dyspnea,Cough,Wheezing,Rapid Breathing (Tachypnea),Fatigue,Anxiety,Cyanosis,Swelling (Edema),none,none,pulmonary edema,"Pulmonary edema is a buildup of fluid in the lungs. It can be caused by a number of factors, including heart failure, pneumonia, and altitude sickness. Symptoms of pulmonary edema include shortness of breath, coughing up pink or frothy mucus, and rapid breathing."
old adult,both,Persistent Cough,Shortness of Breath,Chest Pain,Unexplained Weight Loss,Fatigue,Wheezing,Hoarseness,Difficulty Swallowing (Dysphagia),Swelling of the Face or Neck,Recurrent Respiratory Infections,none,none,lung cancer,"Lung cancer is the leading cause of cancer death in men and women. It's caused by abnormal cell growth in the lungs. Symptoms of lung cancer include coughing up blood, shortness of breath, chest pain, and weight loss"
all,both,Swelling in the Neck,Difficulty Swallowing (Dysphagia),Hoarseness or Voice Changes,Neck Discomfort or Pain,Feeling of Tightness or Pressure in the Neck,Coughing,Breathing Difficulties,none,none,none,none,none,Goiter,"A goiter is an enlargement of the thyroid gland. The thyroid gland is located in the front of your neck and produces hormones that regulate your metabolism. There are a number of different causes of goiters, including iodine deficiency, Hashimoto's thyroiditis, and Graves' disease. Symptoms of a goiter can vary depending on the size of the goiter, but they may include swelling in the neck, difficulty swallowing, and hoarseness. Treatment for a goiter depends on the underlying cause."
all,both,Persistent Cough,Frequent Respiratory Infections,Shortness of Breath,Wheezing and Lung Sounds,Poor Growth and Weight Gain,Frequent and Bulky Stools,Salty-tasting Skin,Nasal Polyps,Sinus Infections,Clubbing of Fingers and Toes,none,none,cysitic fibrosis,"ystic fibrosis is a genetic disorder that affects the lungs and digestive system. It causes mucus to build up in the lungs and airways, making it difficult to breathe. Cystic fibrosis can also lead to problems with digestion and absorption of nutrients."
middle adult,both,Persistent Dry Cough,Shortness of Breath,Chest Pain,Fatigue,Fever,Night Sweats,Weight Loss,Swollen Lymph Nodes,Skin Rash or Lesions,Eye Symptoms,Joint Pain and Swelling,Neurological Symptoms,sarcoidosis,"Sarcoidosis is an inflammatory disease that can affect any part of the body, but it most commonly affects the lungs. It causes granulomas, which are small clumps of inflammatory cells, to form in the organs. Symptoms of sarcoidosis can vary depending on which organs are affected, but they may include shortness of breath, cough, fatigue, and joint pain"
all,both,Visible Spinal Deformity,Back Pain,Fatigue,Breathing Difficulties,Limited Mobility,Muscle Weakness,Digestive Problems,Psychological Impact,none,none,none,none,Kyphoscoliosis,"Kyphoscoliosis is a curvature of the spine that can cause pain and difficulty breathing. It's most commonly caused by osteoporosis, a condition that weakens the bones"
all,both,Rapid Breathing (Tachypnea),Confusion or Mental Changes,Weakness and Fatigue,Nausea and Vomiting,Dehydration,Electrolyte Imbalances,Hyperventilation,Cardiac Arrhythmias,none,none,none,none,metabolic acidosis,"Metabolic acidosis is a condition in which the body produces too much acid or loses too much base. This can lead to a number of symptoms, including fatigue, shortness of breath, and confusion"
all,both,Face Drooping,Arm Weakness,Speech Difficulty,Time to Call Emergency Services,none,none,none,none,none,none,none,none,stroke,"A stroke is a medical emergency that happens when blood flow to part of the brain is blocked or a blood vessel in the brain bursts. This can damage brain tissue and lead to a number of symptoms, including sudden weakness or numbness on one side of the body, trouble speaking or understanding speech, and vision problems."
all,both,Fever or Hypothermia,Rapid Heart Rate (Tachycardia),Low Blood Pressure (Hypotension),Altered Mental Status,Difficulty Breathing,Decreased Urine Output,Skin Changes,Increased Heart Rate,Severe Pain or Discomfort,none,none,none,sepsis,Sepsis is a life-threatening condition that occurs when the body's response
all,both,Shortness of Breath,Fatigue,Chest Pain or Discomfort,Heart Palpitations,Dizziness or Fainting,Heart Murmur,Swelling,Coughing,none,none,none,none,Valvular stenosis,"Valvular stenosis refers to the narrowing of one of the heart's valves, impeding the flow of blood through the heart chambers. This can affect various valves, such as the aortic or mitral valve, leading to increased pressure and potential strain on the heart."
all,both,Sore Throat,Difficulty Swallowing,Redness and Swelling,Scratchiness or Hoarseness,Swollen Tonsils,Fever,Headache,Swollen Lymph Nodes,Cough,Fatigue,none,none,infection of pharynx,"Pharyngitis is an inflammation of the pharynx, the back of the throat. It is commonly caused by viral or bacterial infections, leading to symptoms such as sore throat, difficulty swallowing, and sometimes fever"
all,both,Shortness of breath (dyspnea),Fatigue,Chest pain,Rapid heartbeat (tachycardia),Dizziness or fainting spells,Swelling (edema) in the ankles and legs,Bluish lips and skin (cyanosis),none,none,none,none,none,pulmonary hypertension,"Pulmonary hypertension is a condition characterized by high blood pressure in the arteries of the lungs. This can result in the right side of the heart working harder to pump blood into the lungs, potentially leading to heart failure over time."
all,both,Cough,Fever,Shortness of breath,Chest pain,Fatigue,Nausea,Confusion or changes in mental awareness,none,none,none,none,none,pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs. It can be caused by bacteria, viruses, or fungi. Symptoms include cough, fever, and difficulty breathing. Severity varies, and it can range from mild to life-threatening."
all,both,Sudden chest pain,Shortness of breath,Rapid heart rate (tachycardia),Shallow breathing,Bluish discoloration of the skin (cyanosis),Anxiety or restlessness,none,none,none,none,none,none,Pneumo thorax,"Pneumothorax occurs when air leaks into the space between the lung and the chest wall, causing the lung to collapse partially or completely. This can result in chest pain and difficulty breathing."
all,both,Abdominal distension,Abdominal discomfort,Shortness of breath,Decreased appetite,Swelling in the lower extremities,Weight gain,Nausea and vomiting,none,none,none,none,none,tense ascites,"Ascites is the accumulation of fluid in the abdominal cavity. When ascites becomes ""tense,"" it means there is a significant amount of fluid present, often indicating underlying liver disease, heart failure, or certain cancers"
all,both,Excessive body weight,Increased waist circumference,Fatigue and decreased energy levels,Shortness of breath,Joint pain,High blood pressure (hypertension),Type 2 diabetes,High cholesterol levels,Sleep apnea,Low self-esteem and depression,none,none,obesity,"Obesity is a medical condition characterized by excessive body weight due to an accumulation of fat. It is associated with various health risks, including cardiovascular diseases, diabetes, and musculoskeletal issues."
middle adult,female,Missed Period,Nausea and Vomiting (Morning Sickness),Fatigue,Frequent Urination,Breast Changes,Food Cravings and Aversions,Mood Swings,Weight Gain,Back Pain and Pelvic Pressure,Swelling,none,none,pregnancy,"Pregnancy is a physiological state in which a woman carries a developing fetus within her uterus. It is a complex process involving hormonal changes, physical adaptations, and the eventual delivery of the baby."
all,both,Cyanosis,Rapid breathing or shortness of breath,Poor feeding and inadequate weight gain,Fatigue and weakness,Swelling (Edema),Heart murmur,Fainting,Clubbing of fingers and toes,Delayed growth and development,Recurrent respiratory infections,none,none,congenital heart,"Congenital heart conditions are heart abnormalities present at birth. These can involve the heart's structure, function, or both. Examples include atrial septal defects, ventricular septal defects, and congenital heart valve abnormalities."
all,both,discomfort,Swelling and inflammation,Bleeding,Coughing,Nausea and vomiting,Fever,Localized infection,none,none,none,none,none,foreign body,"A foreign body refers to any object or substance that enters the body from the outside. In medical contexts, this term often refers to objects accidentally ingested or inhaled, which can lead to various complications depending on the location and nature of the foreign material."
all,both,Pain,Tenderness and swelling,Difficulty breathing,Bruising,Crepitus,Rib deformity,none,none,none,none,none,none,Rib fracture,"A rib fracture is a break in one of the ribs. It can result from trauma, such as a direct blow to the chest, and may cause pain during breathing and movement."
all,both,Hoarseness,Voice fatigue,discomfort,Breathing difficulties,Throat clearing,Decreased vocal range,Strain,Inability to speak loudly,Sore throat,Recurrent respiratory infections,none,none,vocal cord injury,"Vocal cord injuries can occur due to trauma, inflammation, or overuse of the vocal cords. They can lead to changes in voice quality, difficulty speaking, or loss of voice."
middle adult,both,Hoarseness,Throat pain,Difficulty swallowing (dysphagia),Persistent cough,Ear pain,Breathing difficulties,mass in the neck,Unexplained weight loss,Fatigue,none,none,none,laryngeal tumor,A laryngeal tumor is an abnormal growth or mass in the larynx (voice box). These tumors can be benign or malignant and may affect voice production and breathing.
all,female,Chest pain,Difficulty breathing (dyspnea),Cough,Swelling,Difficulty swallowing (dysphagia),Hoarseness,Unexplained weight loss,Fever,Fatigue,none,none,none,mediastinal syndrome,"Mediastinal syndrome refers to a group of symptoms caused by abnormalities or compression in the mediastinum, the central compartment of the chest. This can include conditions like tumors, infections, or inflammation affecting structures in this region."
old adult,both,Shortness,Chest pain,Persistent cough,Fatigue,Unintended weight loss,Chest tightness,Decreased appetite,Swelling (edema) in the face,neck,or upper extremities,Hoarseness,Clubbing of fingers,carcinomatous pleura,"Carcinomatous pleura, often associated with metastatic cancer, refers to the presence of cancer cells in the pleura, the membrane surrounding the lungs. This condition can lead to pleural effusion (accumulation of fluid in the pleural space)."
all,both,Dry cough,Fatigue,Unintended weight loss,Clubbing of the fingers and toes,Chest discomfort,Cyanosis,Frequent respiratory infections,Difficulty breathing when lying flat (orthopnea),none,none,none,none,pulmonary fibrosis,"Pulmonary fibrosis is a progressive lung disease characterized by the scarring of lung tissue. This scarring can make it difficult for the lungs to function properly, leading to breathing difficulties."
all,both,Fatigue,Swelling,Changes in Urination,Shortness of Breath,Confusion,Nausea and Vomiting,none,none,none,none,none,none,Renal failure,"Renal failure, or kidney failure, occurs when the kidneys are unable to adequately filter waste and excess fluids from the blood. It can be acute or chronic and may require medical intervention, such as dialysis or kidney transplantation."
all,both,Muscle Weakness,Excessive Salivation and Sweating,Nausea and Vomiting,Difficulty Breathing,Headache and Dizziness,Constricted Pupils,Abdominal Pain and Diarrhea,none,none,none,none,none,organo phosphorus poisoning,"Organophosphorus poisoning occurs when individuals are exposed to toxic chemicals found in certain insecticides and pesticides. Symptoms can range from mild to severe and may include nausea, vomiting, respiratory distress, and neurological symptoms."
all,both,Headache,Dizziness and Weakness,Nausea and Vomiting,Shortness of Breath,Confusion and Impaired Judgment,Chest Pain,Visual Changes,Loss of Consciousness,none,none,none,none,carbon monoxide poisoning,"Carbon monoxide poisoning occurs when individuals inhale excessive amounts of carbon monoxide, a colorless and odorless gas. Symptoms can include headache, dizziness, nausea, and, in severe cases, unconsciousness."
all,both,Wheezing,Shortness of Breath,Coughing,Chest Tightness,Fatigue,Trouble Sleeping,none,none,none,none,none,none,Asthma,"Asthma is a chronic respiratory condition characterized by inflammation of the airways, leading to recurring episodes of wheezing, coughing, chest tightness, and difficulty breathing."
all,both,Swelling,Pain or Discomfort,Itching,Redness,Difficulty Breathing,Abdominal Pain and Swelling,none,none,none,none,none,none,angioedema,"Angioedema is the rapid swelling of the deeper layers of the skin, often occurring around the eyes and lips. It can be caused by an allergic reaction or other factors."
middle adult,both,Chronic Cough,Shortness of Breath (Dyspnea),Wheezing,Chest Tightness,Frequent Respiratory Infections,Fatigue,Reduced Exercise Tolerance,none,none,none,none,none,CoPD,COPD is a progressive lung disease that obstructs airflow and makes breathing difficult. It includes conditions such as chronic bronchitis and emphysema.
all,both,Shortness of Breath,Dry Cough,Fatigue,Chest Discomfort,Unexplained Weight Loss,Clubbing of Fingers and Toes,Reduced Exercise Tolerance,Rales or Crackles,none,none,none,none,interstitial lung disease,"Interstitial lung disease refers to a group of disorders that cause inflammation and scarring of the lung tissue, leading to breathing difficulties."
all,both,Choking,Abdominal Pain,Difficulty Swallowing,Coughing and Wheezing,Shortness of Breath,Chest Pain,Pain and Swelling,none,none,none,none,none,foreign body,"In the context of the respiratory system, a foreign body refers to an object or substance that enters the airways, potentially causing breathing difficulties or other complications."
all,both,Cough,Shortness of Breath,Chest Discomfort,Fatigue,Mild Fever,Sore Throat,none,none,none,none,none,none,Bronchi Tis,"Bronchitis is inflammation of the bronchial tubes, leading to coughing, mucus production, and difficulty breathing."
all,both,Cough,Fever,Shortness of Breath,Chest Pain,Fatigue,Muscle Aches,Sweating,Bluish Discoloration of Lips or Nails,none,none,none,none,pneumoina,"Pneumonia is an infection that inflames the air sacs in one or both lungs, causing symptoms such as cough, fever, and difficulty breathing."
all,both,Runny Nose,Nasal Congestion,Sneezing,Itchy or Watery Eyes,Itchy Nose or Throat,Coughing,Fatigue,none,none,none,none,none,Rhiniris,"Rhinitis is inflammation of the nasal mucous membranes, leading to symptoms like a runny or stuffy nose, sneezing, and itching."
all,both,Skin Reactions,Gastrointestinal Symptoms,Respiratory Issues,Central Nervous System Effects,Hematologic Effects,Liver or Kidney Dysfunction,none,none,none,none,none,none,Druginduced,Drug-induced conditions refer to adverse effects or medical conditions caused by the use of certain medications or substances.
all,both,Respiratory Symptoms,Skin Issues,Eye Irritation,Noise-Induced Hearing Loss,Musculoskeletal Issues,Occupational Asthma,Occupational Dermatitis,Mental Health Issues,none,none,none,none,occupational exposure,"Occupational exposure involves being exposed to potentially harmful substances or conditions in the workplace, which can lead to various health issues."
early childhood,both,Persistent Cough,Frequent Respiratory Infections,Shortness of Breath,Malabsorption,Pancreatic Insufficiency,Foul-Smelling Stools,Salty Skin,Dehydration,Clubbing,Infertility,none,none,cystic fibrosis,"Cystic fibrosis is a genetic disorder that affects the respiratory, digestive, and reproductive systems. It leads to the production of thick and sticky mucus, causing respiratory and digestive problems."
all,both,Cough,Shortness of Breath,Chest Pain,Fever,Night Sweats,Fatigue,Weight Loss,Clubbing,none,none,none,none,lung abscess,"A lung abscess is a localized collection of pus within the lung tissue, often caused by bacterial infection."
all,both,Shortness of Breath,Fatigue,Palpitations,Cough,Chest Pain,Hemoptysis,none,none,none,none,none,none,Mitral stenosis,"Mitral stenosis is a condition where the mitral valve in the heart is narrowed, affecting blood flow between the left atrium and left ventricle."
early childhood,both,Simple Tics,Complex Tics,Simple Vocal Tics,Complex Vocal Tics,Changing Tics,Premonitory Sensations,Associated Conditions,none,none,none,none,none,Tourette syndrome,"Tourette syndrome is a neurological disorder characterized by repetitive, involuntary movements and vocalizations called tics."
all,both,Difficulty Swallowing (Dysphagia),Excessive Salivation,Choking and Coughing,Abdominal Distension,Respiratory Symptoms,Gastrointestinal Symptoms,Recurrent Respiratory Infections,Failure to Thrive,Aspiration Pneumonia,none,none,none,Tracheoesophageal fistula,Tracheoesophageal fistula is a congenital condition where there is an abnormal connection between the trachea (windpipe) and the esophagus.
all,both,Breathing Difficulty,Noisy Breathing (Stridor),Chronic Cough,Wheezing,Recurrent Respiratory Infections,Difficulty Feeding (in Infants),none,none,none,none,none,none,subglottic stenosis,"Subglottic stenosis is the narrowing of the airway just below the vocal cords, which can cause breathing difficulties."
all,both,Poor Weight Gain,Fussiness or Irritability,Refusing the Breast or Bottle,Choking or Gagging,Falling Asleep During Feeds,Excessive Spitting Up or Vomiting,Arching the Back,Grunting or Straining,none,none,none,none,Difficulty Feeding (in Infants),"Difficulty feeding in infants can be caused by various factors, including anatomical issues, developmental issues, or underlying medical conditions."
all,both,Noisy Breathing (Stridor),Chronic Cough,Recurrent Respiratory Infections,Shortness of Breath,Wheezing,Difficulty Clearing Mucus,none,none,none,none,none,none,tracheobronchomalacia,"Tracheobronchomalacia is a condition where the cartilage in the trachea or bronchi is weak, leading to collapse of the airways during breathing."
all,both,Chronic Cough,Coughing up Blood or Sputum,Weight Loss,Fatigue,Fever,Night Sweats,Shortness of Breath,Chest PainSwollen Lymph Nodes,none,none,none,none,TB,"Tuberculosis is a bacterial infection caused by Mycobacterium tuberculosis. It primarily affects the lungs but can also involve other parts of the body. Symptoms may include cough, weight loss, fatigue, and fever."
all,both,Nasal Congestion,Facial Pain or Pressure,Nasal Discharge,Cough,Headache,Loss of Smell,Fatigue,Sore Throat,Bad Breath,none,none,none,sinusitis,"Sinusitis is inflammation of the sinuses, which are air-filled cavities in the skull. It can result from infections or allergies and may cause symptoms such as facial pain, nasal congestion, and headaches."
all,both,Chronic Obstructive Pulmonary Disease (COPD),Coughing and Shortness of Breath,Increased Risk of Infections,Heart Disease,High Blood Pressure,Lung Cancer,Other Cancers,Reduced Fertility,Complications During Pregnancy,Bone Health,Dental Issues,Nicotine Dependence,Withdrawal Symptoms,"Withdrawal symptoms occur when an individual discontinues or reduces the use of a substance (e.g., drugs, alcohol) after dependence has developed. Symptoms can vary depending on the substance and may include anxiety, nausea, and insomnia."
all,both,Shortness of Breath (Dyspnea),Orthopnea,Paroxysmal Nocturnal Dyspnea (PND),Cough,Wheezing,Fatigue,Rapid Heart Rate (Tachycardia),Cyanosis,Restlessness or Anxiety,none,none,none,pulmonary edema,"Pulmonary edema is the accumulation of fluid in the air sacs of the lungs, leading to difficulty breathing. It can result from heart failure, infections, or other medical conditions."
all,both,Non-Epileptic Seizures (Psychogenic Seizures),Functional Movement Disorders,Functional Limb Weakness,Psychogenic Pain,Somatization Disorder,Tics and Tremors,Dyskinesias,Hyperventilation Syndrome,Functional Breathlessness,Functional Gastrointestinal Disorders,Psychogenic Chest Pain,Palpitations,Functional Visual Disturbances,"Functional visual disturbances refer to visual symptoms that are not associated with structural abnormalities in the eye. These disturbances may include blurry vision, light sensitivity, or visual field changes."
all,both,Shortness of Breath (Dyspnea),Fatigue,Fluid Retention (Edema),Persistent Coughing,Increased Heart Rate (Tachycardia)Orthopnea,Paroxysmal Nocturnal Dyspnea (PND),none,none,none,none,none,none,left ventriculor failure,"Left ventricular failure, or left-sided heart failure, occurs when the left ventricle of the heart is unable to pump blood effectively, leading to symptoms such as shortness of breath and fatigue."
middle adult,both,Cough,Shortness of Breath,Chest Pain,Fatigue,Fever,Weight Loss,Erythema Nodosum,Skin Lesions,Uveitis,Conjunctivitis,Enlarged Lymph Nodes,Joint Pain,Cardiac Symptoms,"Cardiac symptoms encompass a range of signs related to heart conditions, including chest pain, palpitations, shortness of breath, and fatigue."
middle adult,both,Dysphagia,Regurgitation,Coughing,Halitosis (Bad Breath),Weight Loss,Gurgling or Noisy Swallowing,Feeling of a Lump in the Throat,none,none,none,none,none,Zenker diverticulum,"Zenker diverticulum is a pouch that forms in the wall of the esophagus, often near the upper esophageal sphincter. It can cause difficulty swallowing, regurgitation, and coughing."
all,both,Noisy Breathing (Stridor),Chronic Cough,Difficulty Breathing,Recurrent Respiratory Infections,Wheezing,Gastroesophageal Reflux (GERD),none,none,none,none,none,none,Tracheomalecia,"Tracheomalacia is a condition where the cartilage in the trachea is weak, causing the airway to collapse during breathing. It can lead to breathing difficulties, especially in infants."
all,both,Respiratory Symptoms,Fever,Gastrointestinal Symptoms,Systemic Symptoms,Skin Symptoms,Neurological Symptoms,Genital Symptoms,Eye Symptoms,Hepatic Symptoms,Lymphadenopathy,none,none,viral infection,"Viral infections are caused by viruses and can affect various parts of the body. They can result in symptoms such as fever, cough, sore throat, and fatigue."
all,both,Gastrointestinal Symptoms,Digestive Issues,Anemia,Respiratory Symptoms,Skin Symptoms,Genitourinary Symptoms,allergic Reactions,Neurological Symptoms,Migration and Visibility of Worms,Urinary Symptoms,none,none,Helminth infection,"Helminth infections are caused by parasitic worms, such as roundworms, flatworms, or flukes. These infections can affect the digestive system and other organs."
all,both,Gastrointestinal Symptoms,Systemic Symptoms,Neurological Symptoms,Cardiovascular Symptoms,Dehydration,Specific Toxins and Symptoms,none,none,none,none,none,none,food borne toxins,"Foodborne toxins are substances produced by bacteria, viruses, or other pathogens in contaminated food. Consumption of contaminated food can lead to food poisoning with symptoms like nausea, vomiting, and diarrhea."
all,both,Dermatitis,Diarrhea,Dementia,Photosensitivity,Swollen,Insomnia,Weakness and Fatigue,Anorexia,Weight Loss,none,none,none,pellagra,"Pellagra is a nutritional deficiency disease caused by insufficient intake of niacin (vitamin B3). Symptoms include dermatitis, diarrhea, and dementia."
all,both,Bloating,Gas,Diarrhea,Abdominal Pain or Cramps,Nausea,Rumbling or Gurgling Sounds in the Stomach,Symptoms Onset,Symptom Relief,Headache,Fatigue,none,none,lactose intolerance,"Lactose intolerance is the inability to digest lactose, a sugar found in milk and dairy products. Symptoms may include bloating, gas, and diarrhea after consuming lactose."
all,both,Steatorrhea,Diarrhea,Abdominal Pain,Weight Loss,Malnutrition,Flatulence,Abdominal Bloating,Nausea,Indigestion,Symptoms Worsen With Certain Foods,Steatorrhea,Greasy Appearance of Stools,exocrine pancretic insufficiency,Exocrine pancreatic insufficiency is a condition where the pancreas does not produce enough enzymes to aid in digestion. It can lead to malabsorption and symptoms like diarrhea and weight loss.
all,both,Frequent Bowel Movements,Urgency,Cramping,Tenderness,Rectal Bleeding,Unintentional Weight Loss,Generalized Weakness,Elevated Body Temperature,Presence of Mucus,Constipation,Feeling of Incomplete Bowel Movements,Reduced Appetite,Arthralgia,"Arthralgia refers to joint pain without inflammation. It is a symptom that can occur in various conditions, including viral infections and autoimmune disorders."
all,both,Abrupt Onset,Frequent Bowel Movements,Cramping,Nausea,Vomiting,Elevated Body Temperature,Generalized Weakness,Malaise,Thirst,Reduced Urination,Headache,Muscle Aches,travele's diarrhea,Traveler's diarrhea is a gastrointestinal infection often caused by consuming contaminated food or water in foreign countries. It can result in diarrhea and abdominal cramps.
all,both,Generalized Pain,Localized Pain,Stiffness,Reduced Strength,Generalized Fatigue,Fever,Swelling,Limited Range of Motion,Tenderness,none,none,none,Muscle Aches,"Muscle aches, or myalgia, can be a symptom of various conditions, including viral infections, inflammatory disorders, or overexertion."
all,both,Orthostatic Hypotension,Tachycardia,Gastroparesis,Diarrhea or Constipation,Bladder Dysfunction,Sexual Dysfunction,Sweating Irregularities,Exercise Intolerance,Neuroglycopenic Symptoms,none,none,none,Diabetic autonomic nearopathy,"Diabetic autonomic neuropathy is a type of nerve damage affecting the autonomic nervous system in individuals with diabetes. It can lead to digestive issues, including diarrhea."
all,both,Often asymptomatic (no symptoms).,none,none,none,none,none,none,none,none,none,none,none,tumors,"Tumors are abnormal growths of tissue that may be benign or malignant. Tumors can occur in various organs and systems, leading to diverse symptoms depending on their location and type."
all,both,Chronic Diarrhea,Weight Loss,Abdominal Pain,Failure to Thrive,Vomiting,Malnutrition,Anemia,Peripheral Edema,none,none,none,none,Autoimmune enteropathy,"Autoimmune enteropathy is a rare autoimmune disorder that affects the intestines, leading to chronic diarrhea and malabsorption."
all,both,Diarrhea,Weight Loss,Nutrient Deficiencies,Dehydration,Fatigue,Abdominal Pain,Bloating and Gas,none,none,none,none,none,Short Gut syndrome,"Short gut syndrome, or short bowel syndrome, occurs when a significant portion of the small intestine is removed or not functioning properly, resulting in malabsorption and diarrhea."
all,both,Loose,Watery Stools,Abdominal Cramps,Dehydration,Fever,Nausea and Vomiting,Bloody Stools,Weight Loss,none,none,none,none,diarrhea,"Diarrhea is a common symptom characterized by loose, watery stools. It can be caused by various factors, including infections, food intolerances, and digestive disorders."
